tournament,date,series,court,surface,round,best_of,p1,p1_utr,p2,p2_utr,winner,p1_games,p2_games,score,p_win
Heineken Open,2014-01-06,ATP250,Outdoor,Hard,1st Round,3,Mannarino A.,15.33,Sock J.,15.48,Sock J.,7,12,3-6 4-6,1
Heineken Open,2014-01-06,ATP250,Outdoor,Hard,1st Round,3,Delbonis F.,15.46,Young D.,14.43,Young D.,7,13,5-7 2-6,1
Heineken Open,2014-01-08,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,14.38,Johnson S.,15.62,Johnson S.,9,13,5-7 4-6,1
Apia International,2014-01-07,ATP250,Outdoor,Hard,1st Round,3,Ramos A.,15.42,Querrey S.,15.32,Ramos A.,16,13,4-6 6-3 6-4,0
Apia International,2014-01-07,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,14.62,Tomic B.,15.39,Tomic B.,3,12,3-6 0-6,1
Apia International,2014-01-08,ATP250,Outdoor,Hard,2nd Round,3,Kavcic B.,15.02,Tomic B.,15.39,Tomic B.,13,16,3-6 6-4 4-6,1
Apia International,2014-01-08,ATP250,Outdoor,Hard,2nd Round,3,Janowicz J.,15.46,Dolgopolov O.,15.44,Dolgopolov O.,4,12,2-6 2-6,1
Apia International,2014-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Tomic B.,15.39,Dolgopolov O.,15.44,Tomic B.,12,7,6-4 6-3,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Giraldo S.,15.1,Querrey S.,15.32,Querrey S.,17,22,3-6 2-6 6-3 6-7,1
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,15.33,Johnson S.,15.62,Mannarino A.,26,20,3-6 6-3 6-0 5-7 6-4,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,15.85,Sousa J.,15.27,Thiem D.,24,20,5-7 6-4 6-3 7-6,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Kudla D.,15.21,Mayer F.,15.39,Mayer F.,10,18,4-6 2-6 4-6,1
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Vesely J.,15.37,Anderson K.,14.38,Anderson K.,25,26,6-2 7-6 4-6 4-6 4-6,1
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Janowicz J.,15.46,Thompson J.,15.16,Janowicz J.,23,19,1-6 4-6 6-4 6-2 6-1,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,15.44,Berankis R.,15.07,Dolgopolov O.,20,12,7-5 7-5 6-2,0
Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,14.24,Lacko L.,15.16,Djokovic N.,19,10,6-3 7-6 6-1,0
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,15.07,Pouille L.,15.32,Lajovic D.,23,19,6-4 7-6 4-6 6-3,0
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Klahn B.,15.0,Dimitrov G.,15.65,Dimitrov G.,18,24,7-6 4-6 4-6 3-6,1
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Delbonis F.,15.46,Rola B.,14.82,Rola B.,11,19,4-6 2-6 5-7,1
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kokkinakis T.,15.14,Sijsling I.,14.4,Kokkinakis T.,20,20,7-6 0-6 7-6 6-2,0
Australian Open,2014-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Granollers M.,14.62,Cilic M.,15.75,Cilic M.,20,26,6-4 6-4 3-6 3-6 2-6,1
